Row_ID,Brand,Model,Battery,km_of_range,0-100,Top_Speed,Range,Efficiency,Fastcharge,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats,Estimated_US_Value
187,VINFAST,VF 9 Extended Range,123.0,174.0,6.5,a2,520.0,237.0,520.0,89790.0,91300.0,0.0,All Wheel Drive,Towbar not possible,0.0,7.0,51005.0
188,LUCID,EQB 300 4MATIC,66.5,169.0,8.0,a1,345.0,193.0,500.0,55519.0,53900.0,0.0,All Wheel Drive,Towbar possible,1700.0,7.0,34289.0
189,SKODA,Enyaq 85x,77.0,122.0,6.6,a1,440.0,175.0,660.0,51150.0,0.0,48605.0,All Wheel Drive,Towbar possible,1000.0,5.0,60561.0
190,KIA,e-Soul 64 kWh,64.0,125.0,7.9,a1,370.0,173.0,350.0,47450.0,0.0,39075.0,Front Wheel Drive,Towbar possible,0.0,5.0,48687.0
191,RENAULT,Kangoo E-Tech Electric,45.0,179.0,12.6,a1,220.0,205.0,230.0,39300.0,0.0,0.0,Front Wheel Drive,Towbar not possible,1500.0,4.0,41658.0
1920,MASERATI,Grecale Folgore,95.0,313.0,4.1,a2,400.0,238.0,440.0,124301.0,124600.0,109905.0,All Wheel Drive,Towbar possible,1800.0,5.0,136941.0
1930,POLESTAR,Mustang Mach-E ER RWD,107.0,177.0,5.0,a2,490.0,218.0,780.0,94900.0,86950.0,75900.0,All Wheel Drive,Towbar possible,2200.0,5.0,94571.0
194,LOTUS,Eletre R,109.0,326.0,2.9,a3,455.0,240.0,950.0,151990.0,154090.0,121305.0,All Wheel Drive,Towbar possible,2250.0,5.0,151146.0
1950,NIO,EL7 100 kWh,90.0,224.0,3.9,a2,430.0,209.0,450.0,94900.0,101535.0,0.0,All Wheel Drive,Towbar possible,2000.0,5.0,57259.0
196,CITROEN,e-C4 X,46.3,132.0,9.7,a1,285.0,162.0,460.0,40540.0,36999.0,31995.0,Front Wheel Drive,Towbar not possible,0.0,5.0,39865.0
1970,VOLVO,EX40 Single Motor,64.0,144.0,5.9,a1,345.0,194.0,530.0,49990.0,45995.0,45955.0,Rear Wheel Drive,Towbar possible,1500.0,5.0,57259.0
198,XPENG,P7 Wing Edition,82.7,155.0,4.1,a2,455.0,182.0,730.0,69600.0,71188.0,0.0,All Wheel Drive,Towbar not possible,750.0,5.0,39769.0
199,SKODA,Enyaq Coupe RS,77.0,139.0,5.5,a1,455.0,180.0,680.0,53400.0,63690.0,54820.0,All Wheel Drive,Towbar possible,1200.0,5.0,68305.0
2000,FORD,Mustang Mach-E SR RWD,72.6,141.0,7.3,a1,440.0,191.0,460.0,55800.0,46300.0,50830.0,Rear Wheel Drive,Towbar possible,750.0,5.0,63334.0
201,AUDI,Q4 Sportback e-tron 45,77.0,132.0,6.7,a1,435.0,177.0,650.0,54950.0,56915.0,52245.0,Rear Wheel Drive,Towbar possible,1000.0,5.0,65097.0
2020,NIO,EX40 Twin Motor,79.0,173.0,4.8,a1,385.0,205.0,570.0,59590.0,0.0,55570.0,All Wheel Drive,Towbar possible,1800.0,5.0,72025.0
203,SSANGYONG,Korando e-Motion,56.0,139.0,8.5,a1,290.0,193.0,330.0,40490.0,39990.0,0.0,Front Wheel Drive,Towbar possible,1500.0,5.0,22340.0
204,SMART,#1 Pro,47.0,148.0,6.7,a1,250.0,188.0,320.0,37490.0,0.0,31950.0,Rear Wheel Drive,Towbar not possible,0.0,5.0,39809.0
2050,AUDI,SQ6 e-tron,102.0,225.0,4.3,a2,475.0,213.0,890.0,93800.0,100000.0,92950.0,All Wheel Drive,Towbar possible,2400.0,5.0,115815.0
206,SERES,3,51.0,146.0,8.9,a1,260.0,170.0,240.0,0.0,37995.0,0.0,Front Wheel Drive,Towbar not possible,0.0,5.0,21226.0
207,VOLVO,EX90 Twin Motor,107.0,209.0,5.9,a1,465.0,233.0,610.0,91700.0,88995.0,96255.0,All Wheel Drive,Towbar possible,2200.0,7.0,119933.0
2080,JAGUAR,i7 eDrive50,101.7,227.0,5.5,a2,520.0,196.0,780.0,115700.0,122463.0,100205.0,Rear Wheel Drive,Towbar not possible,0.0,5.0,124855.0
2090,MAXUS,Cooper E,36.8,150.0,7.3,a1,230.0,160.0,350.0,36590.0,35990.0,30000.0,Front Wheel Drive,Towbar not possible,0.0,4.0,37380.0
210,FIAT,Q4 e-tron 45 quattro,77.0,145.0,6.6,a1,395.0,180.0,590.0,54950.0,56865.0,52175.0,All Wheel Drive,Towbar possible,1200.0,5.0,65010.0
211,OPEL,Corsa Electric 51 kWh,48.1,124.0,8.1,a1,315.0,153.0,460.0,38045.0,37999.0,35475.0,Front Wheel Drive,Towbar not possible,0.0,5.0,44201.0
212,BMW,i5 eDrive40 Touring,81.2,170.0,6.1,a2,455.0,178.0,730.0,72200.0,75200.0,69945.0,Rear Wheel Drive,Towbar possible,1500.0,5.0,87151.0
2130,MERCEDES-BENZ,EQS 450 4MATIC,108.4,189.0,5.6,a2,610.0,178.0,580.0,113359.0,116955.0,0.0,All Wheel Drive,Towbar possible,750.0,5.0,65338.0
2140,HONGQI,E-HS9 84 kWh,76.5,219.0,6.5,a2,320.0,239.0,440.0,0.0,69995.0,0.0,All Wheel Drive,Towbar possible,1500.0,5.0,39103.0
2150,MG,Marvel R Performance,75.8,148.0,4.9,a2,350.0,200.0,380.0,50990.0,52485.0,0.0,All Wheel Drive,Towbar possible,750.0,5.0,29321.0
2160,RENAULT,Q4 e-tron 45 quattro,60.0,134.0,8.6,a1,340.0,176.0,400.0,41400.0,42470.0,0.0,Front Wheel Drive,Towbar possible,1100.0,5.0,23726.0
217,RENAULT,Megane E-Tech EV60 130hp,60.0,135.0,8.7,a1,380.0,158.0,530.0,47000.0,39370.0,0.0,Front Wheel Drive,Towbar possible,500.0,5.0,34075.0
2180,SMART,#3 Premium,62.0,130.0,5.8,a1,355.0,175.0,550.0,46490.0,46055.0,40000.0,Rear Wheel Drive,Towbar possible,1600.0,5.0,49840.0
2190,FIAT,500e Hatchback 24 kWh,21.3,228.0,9.0,a1,135.0,158.0,230.0,30990.0,28990.0,28195.0,Front Wheel Drive,Towbar not possible,0.0,4.0,35130.0
2200,MINI,Megane E-Tech EV40 130hp,40.0,151.0,10.0,a1,260.0,154.0,370.0,42000.0,36370.0,0.0,Front Wheel Drive,Towbar possible,500.0,5.0,20318.0
221,GENESIS,GV60 Premium,74.0,159.0,7.8,a1,390.0,190.0,1020.0,0.0,0.0,53905.0,Rear Wheel Drive,Towbar possible,1600.0,4.0,67165.0
2220,LOTUS,Emeya,106.5,206.0,4.2,a2,530.0,211.0,1230.0,106400.0,109685.0,96255.0,All Wheel Drive,Towbar not possible,0.0,5.0,119933.0
223,OPEL,Astra Sports Tourer Electric,50.8,141.0,9.3,a1,310.0,164.0,500.0,43490.0,41499.0,39995.0,Front Wheel Drive,Towbar possible,0.0,5.0,49833.0
2240,XPENG,P7 RWD Long Range,82.7,102.0,6.7,a2,495.0,167.0,800.0,49600.0,51188.0,0.0,Rear Wheel Drive,Towbar not possible,0.0,5.0,28596.0
